course_code,competency,competency_score,keyword_score,total_score
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Communication skills,0.38498347863141036,0.6431275904178619,0.5140555345246361
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Decision-making skills,0.4041891089744038,0.6673743923505148,0.5357817506624593
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Planning and project managing skills,0.492575423585044,0.4865415460533566,0.4895584848192003
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Networking skills,0.2993713484870063,0.42296391746236217,0.36116763297468424
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Negotiating skills,0.18214842966861194,0.37428950683938134,0.2782189682539966
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Self-Aware,0.43221207128630745,0.7887234522236718,0.6104677617549896
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Enterprising Traits,0.5204880419704649,0.517926318777932,0.5192071803741984
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Self-Directed,0.09463765617046091,0.3801485101381938,0.23739308315432733
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Teamwork,0.5605509993102815,0.28422213728643125,0.4223865682983564
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Uncertainty Management,0.25250401761796737,0.5199402934975095,0.3862221555577384
COMM 470,Entrepreneurial Mindset,0.4827088415622711,0.15528348740190268,0.3189961644820869
COMM 470,Opportunity Recognition,0.29582098312675953,0.17255922639742494,0.23419010476209223
COMM 470,Market Research,0.2119605876505375,0.23850388213759288,0.2252322348940652
COMM 470,Product Development,0.17964205984026194,0.15711423894390464,0.1683781493920833
COMM 470,Marketing,0.2165470141917467,0.11008604429662228,0.1633165292441845
COMM 470,Business Modeling,0.24053790792822838,0.1736996523104608,0.2071187801193446
COMM 470,Managerial Decision Making,0.3700036555528641,0.19987578503787518,0.2849397202953696
COMM 470,Legal ,0.18479698477312922,0.1361809466034174,0.1604889656882733
COMM 470,Financial Decision Making,0.3657325245440006,0.40306306863203645,0.38439779658801854
COMM 470,Observational skills,0.4629098176956177,0.6001475602388382,0.5315286889672279
COMM 470,Creativity skills,0.36396828666329384,0.3522137301042676,0.3580910083837807
COMM 470,Problem solving skills,0.3493387382477522,0.21334585919976234,0.28134229872375727
COMM 470,Communication skills,0.588356226682663,0.4888300821185112,0.5385931544005871
COMM 470,Decision-making skills,0.40554193779826164,0.6774194166064262,0.5414806772023439
COMM 470,Planning and project managing skills,0.2660038601607084,0.23657956067472696,0.2512917104177177
COMM 470,Networking skills,0.22049802355468273,0.27584558515809476,0.24817180435638875
COMM 470,Negotiating skills,0.22155631892383099,0.2649074262008071,0.24323187256231904
COMM 470,Self-Aware,0.5259145461022854,0.7372781410813332,0.6315963435918093
COMM 470,Enterprising Traits,0.5002728775143623,0.3775206506252289,0.4388967640697956
COMM 470,Self-Directed,0.44155694358050823,0.40542517229914665,0.42349105793982744
COMM 470,Teamwork,0.3812315436080098,0.1287213391624391,0.25497644138522446
COMM 470,Uncertainty Management,0.38507620245218277,0.3584650419652462,0.3717706222087145
COMM 482 / BAMA 503 001,Entrepreneurial Mindset,0.44028250210815006,0.18002949096262455,0.3101559965353873
COMM 482 / BAMA 503 001,Opportunity Recognition,0.42477874871757293,0.41091785911056733,0.41784830391407013
COMM 482 / BAMA 503 001,Market Research,0.3806086642046769,0.36852218666010433,0.37456542543239063
COMM 482 / BAMA 503 001,Product Development,0.40158482061492073,0.3739838329040342,0.3877843267594775
COMM 482 / BAMA 503 001,Marketing,0.36990077793598175,0.3459179037147098,0.35790934082534576
COMM 482 / BAMA 503 001,Business Modeling,0.3167855375342899,0.34101687371730804,0.32890120562579894
COMM 482 / BAMA 503 001,Managerial Decision Making,0.33500258810818195,0.5804399847984314,0.4577212864533067
COMM 482 / BAMA 503 001,Legal ,0.13532549680935013,0.11293838069670731,0.12413193875302872
COMM 482 / BAMA 503 001,Financial Decision Making,0.2997638483842214,0.20017705857753754,0.24997045348087946
COMM 482 / BAMA 503 001,Observational skills,0.3817292260419991,0.7382675525214937,0.5599983892817464
COMM 482 / BAMA 503 001,Creativity skills,0.32845896958476967,0.34313144389953876,0.33579520674215424
COMM 482 / BAMA 503 001,Problem solving skills,0.34781512717664653,0.32298251893371344,0.33539882305518
COMM 482 / BAMA 503 001,Communication skills,0.47991113861401874,0.4556733061456018,0.4677922223798103
COMM 482 / BAMA 503 001,Decision-making skills,0.5990977284188072,0.7623616456985474,0.6807296870586772
COMM 482 / BAMA 503 001,Planning and project managing skills,0.5123382766420642,0.3194422643217776,0.4158902704819209
COMM 482 / BAMA 503 001,Networking skills,0.17050871659173733,0.2883641167233388,0.22943641665753806
COMM 482 / BAMA 503 001,Negotiating skills,0.18562836275022063,0.3222165091170205,0.25392243593362057
COMM 482 / BAMA 503 001,Self-Aware,0.43458034263716805,0.584608836306466,0.509594589471817
COMM 482 / BAMA 503 001,Enterprising Traits,0.4836929556396272,0.4817550778388977,0.48272401673926246
COMM 482 / BAMA 503 001,Self-Directed,0.14900814233502993,0.4776142556220293,0.3133111989785296
COMM 482 / BAMA 503 001,Teamwork,0.6260945664511787,0.11491376099487145,0.3705041637230251
COMM 482 / BAMA 503 001,Uncertainty Management,0.3400439934598075,0.34266923036840224,0.3413566119141049
COMM 485,Entrepreneurial Mindset,0.4719924351407422,0.22346345811254448,0.3477279466266433
COMM 485,Opportunity Recognition,0.28782010740704006,0.23582756208876768,0.2618238347479039
COMM 485,Market Research,0.11298867284009854,0.1565625343678726,0.13477560360398558
COMM 485,Product Development,0.1172028159101804,0.09861485202175875,0.10790883396596958
COMM 485,Marketing,0.112433917587623,0.07489349589579636,0.09366370674170968
COMM 485,Business Modeling,0.11192687947510017,0.14123859246157938,0.12658273596833977
COMM 485,Managerial Decision Making,0.08738525066938665,0.1353932386264205,0.11138924464790358
COMM 485,Legal ,0.06977569642994139,0.01343113100544239,0.04160341371769189
COMM 485,Financial Decision Making,0.10724026275177796,0.04854067836681174,0.07789047055929485
COMM 485,Observational skills,0.2402196062935723,0.5799254261785083,0.4100725162360403
COMM 485,Creativity skills,0.2702155509549711,0.5097409159772925,0.3899782334661318
COMM 485,Problem solving skills,0.4276428288883633,0.3107936850024594,0.3692182569454113
COMM 485,Communication skills,0.22515003341767523,0.4030936550762918,0.31412184424698353
COMM 485,Decision-making skills,0.13328804324070612,0.5083912693791919,0.320839656309949
COMM 485,Planning and project managing skills,0.09937462556020667,0.18257754503024948,0.14097608529522807
COMM 485,Networking skills,0.08170928143792683,0.31271284570296604,0.19721106357044643
COMM 485,Negotiating skills,0.08200757816019985,0.21275465314586958,0.14738111565303472
COMM 485,Self-Aware,0.3810379339589013,0.6211234364244673,0.5010806851916842
COMM 485,Enterprising Traits,0.44604895636439323,0.35721501376893783,0.40163198506666553
